Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Cascade City in Richmond,7100 Elmbridge Way,TBD,,Landa Global Properties,271,,15,"Bordering on the majestic Fraser River,",,,,Close to the Oval Community Centre,A vast number of parks,,
Cates Landing - Coming Soon to North Vancouver's Waterfront,3862 Dollarton Highway,Not Released - Sign up to be notified,Condos/Townhomes,Polygon,95,Wood,4,Waterfront,,Burrard Inlet,Cates Park,"Shopping, Golf, Ski Hill",,,
Cedar Reach at Maplewood,"2012 Old Dollarton Highway, North Vancouver",TBD,condos & townhomes,Lion Roack,163,wood,5,Unique Storage,,,"Hogans Pool Park, Maplewood Park","shopping, entertainment, nature, ski hill",,yes,
Cedar Ridge in Port Moody,70 Seaview Drive,,Townhouse,Allaire Living and Headwater Living,28,Wood,,2-5-10 Year Warranty provided by Travelers Guarantee,Spacious exterior decks or patios extend your living space and feature a natural gas barbecue outlet,,"Miller Park, Rocky Point Park","Port Moody’s Brewers Row, Simon Fraser University, Safeway Extra & Liquor Store, Kinetik Cycles, Longevity Health Foods, Bosley’s, Shoppers Drug Mart, 30 Minute Hit and more",Each home has a private two-car garage. Six visitor vehicle parking stalls at opposite ends of the property.,,
Cedar Walk by Polygon,Acadia Road,,"1, 2 and 3 bedroom condos and townhouses",Polygon Homes,,,,near University Golf Course,,,Pacific Spirit Park,"UBC Campus, walking trails, a retail plaza, highly-ranked elementary and high schools",,,
Centra Surrey City Centre,13852 101 Ave,,Condominium,Everest Group,167,,24,"Contemporary fully equipped kitchens, 8’8” ceilings, wide-plank laminate flooring and expansive windows","European stainless steel appliances, Caesarstone countertops, Grohe faucets and showerheads, Blomberg front loading washer and dryer","North Shore Mountains, Fraser Valley, Mount Baker, Fraser River",Holland Park,"Central City shopping mall, SFU, civic plaza surrey library & city hall, retail, restaurants, grocery shopping, schools",,,
CentreView by Onni - Central Lonsdales Newest Community,118 13th street East,From 300's,Condo,Onni,,Concrete,24 & 18,"Roof top Patio and Pool, Squash Court",,"Great Views of downtown, water and mountains","Victoria Park, Mahon",Everything you need,"0,1,2 Stalls per unit",Lockers available,
Centro in Burnaby Heights by EPTA Properties,4356 Hasting Street East,TBA,1 to 3 Bedroom Condo Units,EPTA,,Wood,5,,,,Confederation Park,"Eileen Dailly Pool, Skateboard Park, Fitness Centre, McGill Library",TBD,TBD,
Centro | West Kelowna,Centro West Kelowna,"Starting at $179,900",Condos,Sunlake Construction,101,,,,Studios to 3-bedroom + den suites & spacious balconies,Panoramic lake & valley views,,"Golf Courses, Wine Trail, Beaches, Trails & Hikes",Yes,Yes,
"Chalet Townhomes | Delta, BC",84A Ave & 115 St,"From $720,000",Townhouse,Arzone,20,,3,,"3-BED + flex homes, ranging from 1,795 – 2,022 sf",,North Delta Community Park,North Delta Recreation Centre; George Mackie Library; Richardson Elementary & North Delta Secondary schools; Nordel Place services & shops; Save-On Foods & Real Canadian Superstore; Burns Bog Delta Nature Reserve; Planet Ice,Built-in garage,Yes,
Chambers In East Vancouver,Chambers St & East 34th Ave,"From 798,000",Condo & Townhouse,Chambers Street Development,10,,4,,"2.5-3.5 bedroom homes, ranging from 930 - 1,129 sf","North Shore Mountains, Downtown",Norquay Park,"Shops, restaurants, schools & parks within walking distance",EV charging station on site,Available w/ select suites,
Charles Street,Charles Street & Nanaimo Street,,,The Cape Group & Human Studio,,,,,,,"St. Lui Park, Clinton Park","Hastings-Sunrise restaurants/shops, PNE",2 level underground parking,,
Chateau Laurier - Shaughnessy Luxury Pre-Construction Condos from Landa,1009 Laurier Ave.,,condominiums,Landa Global Properties,11,mixed contrete,,,,,,,,,
Chelsea Gate,11118 72 Ave,,Townhouse,Westcorp,60 Units,,,,,,Cory Drive Park,"Dining, shopping, services, leisure & entertainment",,,
Chelsea Mews by London Meridian Properties in North Vancouver,1591 Bowser Avenue,,Condos,London Meridian Properties,16,,3,Views to Lions Gate Bridge,,,,"Park Royal Shopping Centre, Capilano Mall, Grouse Mountain ski resort, Save-on-Foods, and Steve Nash Fitness World",22,,
Chelsea at Cambie - Luxury Cambie Corridor Development by Cressey,"4663 Cambie St,",,Condos,Cressey,65,Concrete,6,"Private Entrance Townhouse, 8""10 Plus Ceilings and more",,Queen Elizabeth Park,Queen Elizabeth Park,"Restaurants, entertainment, schools, parks, public transportation, shopping mall and more","Every unit has parking, storage and balcony",Yes,
Churchill Townhomes: South Vancouver's Hottest New Development,168 West 63rd Avenue,,3- & 4-bedroom homes,Belford Properties,18 homes,,3 storeys,Air Conditioning,,,,,,,
"Cinema District | University District, Abbotsford",1500 block of McCallum Rd,,Townhouse,Diverse Properties,73,,,,"3-4 BED, may include a live/work studio space or secondary suite",Scenic mountain views,"Hoon Park, Berry Park, Mill Lake Park, Ravine Park","University of the Fraser Valley, McCallum Junction shopping, Abbotsford Centre arena, Costco, Abbotsford International Airport",Double or tandem garages,Yes,
Cirrus SOLO District 3 in Brentwood,"2085 Skyline Court, Burnaby",,Condos,Appia Development,360,Concrete,48,,,,Camrose Park,"Shops, dining, schools, and parks",,,
Citti - A New Development at the heart of Cambie & Broadway Neighbourhood,238 W. Broadway,"$377,900+","1-, 2-, 3-bedroom and penthouse suites",CM Bay,57 Units,"concrete construction, brick masonry exterior",8 Storeys,,,,,,,,
Clarendon Heights | East Vancouver,East 33rd Ave & Clarendon,,Condo,Fully Homes,47,,4,,"1, 2 & 3 bedroom units, ranging from 830 - 1,147 sf",Expansive city & mountain views,"Norquay Park, Renfrew Ravine Park","Only minutes away from restaurants, shops, cafes, grocers & schools",1,Select suites,
Clayton Station | Surrey - Cloverdale,192 St & 70th Ave,"Starting from $598,800",Townhouse,Dreamstar Homes,49,,3,,"3 BED homes w/ 9 different layout options, ranging from 1,382 - 1,965 sf",,"Katzie Park, Magee Park, Shannon Park & more","Costco, Walmart, Clayton shops & restaurants, Clayton Community Centre, Willowbrook Shopping Centre & several schools",2 car garage,Yes,
Clayton Street In Surrey,192 St & 72 Ave,"Starting from the low $600,000's",Townhouse,Garcha Properties Ltd.,74,Wood frame,,,Side-by-side garage townhomes,,"Shannon Park, Hazelgrove Park","Several schools, Willowbrook Shopping Centre, Costco, Walmart, Clayton shops & restaurants",Side to side garages,,
Cleveland Gardens in Squamish,38167 Cleveland Ave,,Condo,Atti Group,20,,4,Large windows and balconies for every unit,"Open floor plans feature 9’ ceilings, modern kitchens with energy efficient stainless steel appliances, stylish bathrooms and upgraded fixtures.",,,Local restaurants and shop in Squamish’s vibrant downtown core,,,
Clive at Collingwood,3241 Clive Ave,,Condo & Townhouse,Nexst Properties,63 condos & 5 townhomes,,6-storey residential building & 3-storey townhouses,2 Skytrain stops from Metrotown shopping & entertainment,,,Central Park,"Kingsway restaurants, London Drugs & Safeway",68 vehicle parking stalls,,
Clyde by Port Homes | Port Moody,Moray Street & Clearview Drive,,Condo,Porte Homes,112,Woodframe,6,,"1, 2 and 3 bedroom homes",,"Corbeau Park, Rocky Point Park","St. Johns Street restaurants, Rocky Point Park recreation, Brewery Row craft breweries, Coquitlam Centre shopping",2 levels of underground parking,,
Coco Oakridge on Cambie,5733 Alberta Street,,Condo and Townhouse,Keltic Canada Development,57,Concrete,6,Cohesive and impressive design by GBL Architects,,"North Shore mountain views or sunny, southern exposure",Tisdall Park,Close to Oakridge Centre and many westside living luxuries,,,
Concord Brentwood - Prestigious Park Side Living,"4829 Dawson Street, Burnaby",TBD - Register today for,Condo/Townhomes,Concord Pacific,,Concrete,33-55,"Huge Park on Site, new school",,,Brand new park built on site,"shopping, golf, skiing, walking trails, deer lake",,,
Concord Brentwood Phase 4 - Hillside East in Burnaby,"4829 Dawson Street, Burnaby",TBD,,Concord Pacific Developments,,,,CONVERT YOUR SUPER-SIZED BALCONY TO AN ALL-SEASON OUTDOOR LIVING ROOM,,,Lower Leisure Park,"Shops, dining, schools, and parks",,,
Connaught - Edgemont Village North Vancouver by Grosvenor,3260 Edgemont Blvd,"1 bedrooms starting at approx $650,000",Condos/Townhomes,Grosvenor,82,Concrete,3,"concrete, a/c, premium finishes",,mountains,"Fairmont Park, Murdo Frazer Park, Mosquito Creek","Recreation, Skiing, Golf, shopping",184,,
Contessa Vancouver at Queen Elizabeth Park,"5355 Cambie St, Vancouver, BC V5Z 2Z9",,,Pure West Property Investments and GBL Architects,"45 condos 1-3 bedrooms, 3 lane way townhouses",,6,,,,Queen Elizabeth Park,"Signature BC Liquor Store, Hillcrest Community Centre",51,"60 bicylce lockers and most homes have in-suite storage,Also there will be a shared rooftop patio",
Continuum at Nature's Edge in North Vancouver,856 Orwell Street,,Townhomes,Brody Developments,23,,,,,,Digger Park,"Lynnmour Elementary School is across the street, a playground in Inter-River Park",48,,
Cornerstone Village | Vernon BC,End of 50th Ave & Off of 20th St,,Single Family Home,Whitstone Developmnents,2,,2,,"3 bed, 2.5 bath, 1803 sf, garage, custom kitchen, gas fireplace, 9’ main floor ceilings, laminate flooring, vinyl tile & carpet",Mountains,Coyote Park,"Schools, shopping, trails & the mountains",Yes,Yes,
Corvette Landing in Esquimalt,Admirals Rd & Naden Way,"Starting at $258,900",Condo,Standing Stone Developments,83,State-of-the-art Mass Timber precision construction,12,"Passive House design offers two-sided exposure, abundant daylight & natural cross-ventilation","Studio, 1-, 2- & 3-bedroom suites + private terraces & patios for select suites",Esquimalt Harbour & the Strait of Juan de Fuca,Highrock Park,"Developments are underway nearby that include retail, residential & office spaces, a new library, an education facility & open spaces for the public",1,1,
Court in the heart of Abbotsford's City Centre,2814 Gladwin Road,"1-bedroom starting from $324,900",Condo,Heinrichs Developments,153,,6,"Intimate balconies and terraces, shared courtyard and landscaped outdoor spaces",1- & 2-bedroom + flex condos,,"Mill Lake Park, Horn Creek Park","Shopping, restaurants, Health and Wellness, Schools, and Community",,,
Courtenay at Mulgrave Park in West Vancouver,Burfield Pl,,Condos,British Properties,39,,7,mintues to Ambleside Beach & downtown Vancouver,,Stunning ocean views,Mulgrave Park,"Golf in the spring, sail the Pacific in the summer, ski world-class peaks in the winter",,,
Creekside at Maple Heights | Maple Ridge,112 Avenue & 240 Street,"Starting from $499,900",Townhouse,StreetSide Developments,130,,,,"3 BED homes w/ 2 or 3 BATH, ranging from 1,424 - 1,714 sf",Siegel Creek + nature,"Kanaka Creek River Front Park, Alouette Lake & Golden Ears Provincial Park","Valley Fair Mall, Save On Foods, Albion Sports Complex & Fairgrounds",2-car garage,Yes,
Crest by Adera- North Vancouver,"150 8th Street East, North Vancouver",TBD,Condos/Townhomes,Adera,178,Wood Frame,6,,,,,,,,
Crest by Hayer Builders Group-Surrey,168 Street,,Townhouse,Hayer Builders Group,22,,,hot tub rooftop patios,,,Fleetwood Park,Surrey Golf Club,,,
Creston - North Shore,15th and Bewicke,TBD,Condo,Pennyfarthing,53,Woodframe,5,,1-3 bedroom homes,,Mosquito Creek,"Shopping, entertainment, nature, ski hill",,,
Crimson Cloverdale Village by Fifth Ave,5940 176A St,TBD,Townnhomes,Fifth Ave,,,,side by side garage,,,,"shopping, dining, schools, and parks",,,
Crown and Mountain,1519 Crown Street,TBD,condos,Mountain Creations,47,wood,6,,,,,,,,
"Cypress Gates Villas | Bear Mountain, Victoria",Bear Mountain,,Townhouse,Ecoasis Developments,18,,,Built Green certified homes,"3-bedroom homes, ranging from 2,464 - 2,530 sf",Ocean & mountain views,Goldstream Park,Hiking & mountain bike trails; Bear Mountain Resort; Goldstream Boathouse; shopping & services of Millstream Village; 30 minutes to amenities of Downtown Victoria,2.5-car garage,Yes,
Cyrus Hill | North Delta,11568 72 Ave,,Townhouse,Bassi Properties,40,Woodframe,,Walking distance to Scottsdale Centre shopping,"3- & 4-bedroom homes, centrally-located to all needed amenities",,,"Near 72nd & Scott Road commercial district, Cineplex Cinemas, Sungod Recreation Centre",All homes have interior 2-car garages,,
DLX on Third in Nanaimo,560 Third Street,,Condo,Wertman Development Corporation,181,,,just minutes away from Vancouver Island University,,,Third Street Park,"School, Park, Restaurant & Bar, Shops and more",,,
Delta Gardens In The Social Heart,84 Ave,"Starting from $650,000",Condo,Maple Leaf Homes,122,,6,,"2-3 bedrooms, sizes starting from 1,318 sf",,Mackie Park,"Nordel Shopping Centre; several shops, services and restaurants on Scott Road; North Delta Recreation Centre",Secure underground parking,Available for purchase,
Denby in Langley,Murrayville,,Townhome,Sandhill Development Ltd.,64 semi-detached townhomes,,,surrounded by local agriculture,,,,"Neighborhood services and amenities from grocery, banking, veterinarians to the dental centre and acupuncturist",Side-by-side garages,,
Diamond Steveston in Richmond,9851 Steveston Hwy,,Townhouse,Konic Homes,11,,,,European-concept townhouses w/ stylish & linear exterior + massive windows,,"South Arm Park, London Park","Several schools, restaurants, shops and recreational activities",,,
Downtown Pointe - Port Coquitlam,"2229 Atkins, Port Coquitlam",starting in the $300's,condos & penthouses,Pacific New Homes Development,35,wood,4,,,,,,,,
Duchess & Horley Townhomes,Vancouver,,Townhouse,Baron Projects and Priivan Development Group,6,,,Large decks and patios make outdoor living an everyday experience,,,Slocan Park,,,,
Duet in West Coquitlam,709 Como Lake Avenue,,Condo & Townhouse,Adera,72,,6,"Rooftop patios, north-south orientation to maximize sunlight exposure",,"West Coast views of Burnaby Mountain, SFU and North Shore Mountains from your large balcony, private roof deck or expansive common rooftop lanai.","Burquitlam park, Mountain View park, Miller park","Lougheed Town Centre shopping, SFU, transit, dining",,Storage lockers included for every home,
Dwell at HQ by Porte,10581 140th Street,$200-500K,,Porte,,Wood frame,Six,,,Trees,Hawthorne Park,,,Yes,
Dwell24 in Coquitlam,1120 Falcon Dr,,Townhomes,Epix Developments,24,,3,generous dining & living areas,,,,NewPort Village & Suter Brook Village shops & services，short distance from Coquitlam Centre Mall,34 vehicle parking spaces in private garages,,
ELEMENTS in Langley by Sandhill,"20211 66 Avenue, Langley","$219,000 - $365,000",Condominium,Sandhill Developments,393,Wood frame,4,High Ceilings,,,,"Shopping, Hospital, Golf, Rec Centre",,,
ELLA - 2408 Grant Street | Vancouver East,Nanaimo & Grant,"Starting from $399,900",Condo,Trillium Project Management Ltd.,45,,4,,"Stuido, 1-, 2- & 3-bedroom homes",,"Clinton Park, Hastings Community Park","Near multiple schools, shops, grocers, cafés & services",Underground parking,,
ERA Phase 1 | Downtown Maple Ridge,Dewdney Trunk Rd & Plaza St,,Townhouse & Condo,SwissReal Development,192,,,,"1-,2- & 3-bedroom homes","Mountains, forest","Haney Nokai Park, Reg Franklin Park","4-minute drive to Haney Place Mall/Walmart; Near parks, restaurants, schools, shops & office space",1,,
ERA | Maple Ridge,Dewdney Trunk Rd between Plaza & 224 streets,,,SwissReal Development,,,,,Will offer a wide range of housing types/floor plans,"Mountains, forest","Haney Nokai Park, Reg Franklin Park & a new neighbourhood park","4-minute drive to Haney Place Mall/Walmart; Near parks, restaurants, schools, shops & office space",Underground parking,,
EVERLY GREEN by Qualico,"8217 204B Street, Langley",TBA,Townhomes & Single Detached,Streetside Developments (Qualico),54 townhomes and 36 single detached,Wood frame,3 Storey,-,,North Shore Mountains,Yorkson Community Park,"Shopping, parks, trails, community centre, restaurants",,,
EagleView Heights,464 Eaglecrest Dr,,Condo and Townhouse,TC Development Group,8 townhomes & 55 condos,,12 x 3-storey buildings,Infinity-edge swimming pool with hot tub & patio,,Panoramic ocean & mountain views,,"Steps from services, shops, restaurants",,,
Earl by Vicni Homes in Vancouver,4521-4533 Earles St,,Townhomes,Vicni Homes,6,,,just steps away from 29th Ave Skytrain Station,,,Slocan Park,"Restaurants, entertainment, schools, pharmacies, public transportation",,,
Eastpark Vancouver - the Latest Development to Hit the Queen Elizabeth Park Area,5080 Quebec,,"1-, 2-, & 3-bedroom condos",Boffo Group,,,2 Buildings at 5 storeys,"8'10""",,,Queen Elizabeth Park Nearby,,2 parking available for some homes,,
Eastward by Intracorp,2643 Victoria Dr,,Condo,Intracorp,65,,6-storey podium with 10-storey tower,,,,,"Close to bakeries, cafes, shops, restaurants, and pubs",117 underground parking spaces,,
Ebb & Flow Townhomes,1944 Fullerton Ave,"Starting from $509,900 to over $1,199,900",Townhomes,Citmark & Woodbridge Properties,150,Wood,3,,,,"Klahanie Park, Barbour Park, Belle Isle Park","Staples Capilano, Earls Kitchen + Bar, Park Royal Shopping Centre, Cineplex Movie Theatre",Parking included in all homes,Yes in some homes,This communication is not intended to cause or induce breach of an existing agreement. This is not an offer for sale. Such offering can only be made after filing a disclosure statement E.&O.E
Edgemont Walk by Boffo Properties,1133 Ridgewood Dr,TBD,Townhomes,Boffo Properties,24,,3,excellent hiking trails nearby,,,Capilano Suspension Bridge,"Edgemont Village cafes, shops, services",,,
Edgestone by Bold Developments - Port Moody,"2131 Spring Street, Port Moody, BC","$899,900",Townhomes,Bold Real Estate Developments,38,wood,3,,,,,,,,
Edward Vancouver by MOSAIC,"388 W King Edward Ave, Vancouver, BC V5Y 2J2",,Condos,MOSAIC,"54 Condos, 2 high street homes",wood-frame with concrete between floors,two 4-storey buildings,,,,,"Hillcrest Community Centre, restaurants, services, shops",79,"77 bicycle stalls and 21 bicycle lockers, additional storage lockers will be available",
EightOnThird,748 3rd Street East,"Starting from$1,199,900",townhome,InHaus Development Ltd.,8,wood,3,,,,,,,,
Element 1 Townhomes In Burnaby,7141 17th Ave,"Starting at $699,000",Townhouse,Square Nine,23,,,2 SkyTrain stops from Metrotown shopping,"2-3 bedroom suites, ranging from 924 - 1,133 sf",,Ron McLean Park,"Close to multiple schools, parks and recreational activities; Minutes by transit to shops, restaurants and services of Metropolis at Metrotown Mall.",42 vehicle parking spaces,,
Elenore on Fifth by Chard in Mount Pleasant,2106 Main Street,,,Chard Development Group,58,,7,,,,"Creekside Park, Thornton Park","Dining, Coffee shops, Vancouver Community College, Emily Carr University","54 residential stalls, 68 commercial stalls",75 residential bicycle storage spaces,
"Elevate At Bear Mountain | Victoria, BC",Bear mountain,,Condo,Ecoasis Developments,209,Concrete,13,,"Studio, 1, 2 & 3-bedroom condos, ranging from 300 - 1,200 sf",Mountain & Valley Courses + the Highlands & Mount Baker,Goldstream Park,Hiking & mountain bike trails; Bear Mountain Resort; North Langford Recreation Centre; Goldstream Boathouse; shopping & services of Millstream Village; 30 minutes to amenities of Downtown Victoria,Underground parkade w/ EV charging station,,
Elevate at Sunstone,"Sea-to-Sky Hwy, Pemberton, BC V0N 2L0",,2 and 3 bedroom townhomes,Sunstone Pemberton,52,,,"Quartz stone countertops, composite hardwood flooring, spa inspired bathrooms and ensuites",,"South facing views, Mount Currie",Green River Motocross Park,"Horseback riding tours and lessons, backcountry skiing and snowboarding, biking, hiking, lakes, two 18 hole golf courses, canoe and kayaking tours on several rivers, Pemberton BMX Track and skateboard bowl, Whistler Blackcomb Ski Resort",,,
Eleven West by Nadeau Developments in Kitsilano,2001 W 11th Ave,,Condos and Townhouses,Nadeau Developments,5 units left,Concrete,,,,Mountains + City,Kits Beach and Granville Island,Kitsilano Community Centre,Each unit comes with parking,Each unit comes with storage,
Elina on Eighth Townhomes | New Westminster,8th Ave & 13th St,"Starting at $749,900",Townhouse,Canada West Construction,22,,3,,"2-4 BED, ranging from 953 - 1,407 sf + some suites w/ balcony & private yard",,"Moody Park, Mary Avenue Park","Moody Park sports fields/pool, the River Market & Queens Park amenities",1,1,
Ella by Mission Group | Kelowna,Ellis Street,"Starting at $679,900",Condo,Mission Group,116,Glass & Concrete,20,,2- & 3-bedroom condos + private deck,"Expansive city, water & mountain views",Kelowna City Park,"Wineries; beahces; restaurants, shops, entertainment & conveniences of Bernard District",Included w/ purchase (excludes stuidos),Available for purchase,
Elliot by Redekop Faye in Chilliwack,45562 Airport Road,,Condo,Redekop Faye,60,,4,20 minutes from an international airport,5-minute drive to Cottonwood Mall,,,"Center for golf, nature trails and wine tasting",,,
Ellis Parc in the heart of Kelowna,Ellis Street,"Starting from $568,500",Condo,GSL Group,91,,14,,1- & 2-bedroom + den suites,"City, water & mountain views",Kelowna City Park,"Steps from the lake, beach, parks and marina, neighbouring Lake City Casino and Prospera Place",1,1,
Ellsworth Vancouver - The Main Street Corridor Set for An Exciting New Condo Project,Main and E. 7th,,"studio, 1-, 2-, and 3-bedroom homes",Chard Developments,89 units,Concrete Construction,9 Storeys,"Huge 3,500 square foot rooftop patio",,,,,,,
Elmstone at Westerleigh,3834 Townline Road,,Condo,Polygon Homes,142,,4,"9,000 sq ft clubhouse",,Mountain views,Townline Hill Park,"Close to schools and shopping, and right beside the Discovery Trail",,,
Elston By Hawkston In Surrey,68 Ave & 193A St,"Starting from $639,900",Townhouse,Hawkston Developments,52,Woodframe,3-storey,Built Green Gold Certified construction,"3-4 bedroom townhomes, ranging from 1,317 - 1,880 sf",,Katzie Park,"Hillcrest Village shops & restaurants; Proposed Clayton Community Centre; 5-min drive Willowbrook Shopping Centre, Costco & Walmart",Side-by-side double garages w/ EV charging,Yes,
Emery Village in Lynn Valley,1200 Emery Pl,,Condo and Townhouse,MOSAIC,"281 strata condominiums, 46 townhomes, 84 rental apartments",,,"2 concrete mid-rises, two woodframe lowrises",,,"Kirkstone Park, Viewlynn Park, Hastings Creek Park","YYoga Northshore, Shoppers Drug Mart, Lynn Valley Centre, Winners, Safeway Lynn Vally, Waves Coffee, McDonald's, Vancouver Waldorf School and more",619,,
Epic at West - The Newest Condo Development to Hit Olympic Village,167 W 2nd Ave.,,"1-, 2-, and 3-bedroom homes",Executive Group,121 homes,Concrete Construction,,,,,,,,,
"Esquimalt Town Square | Victoria, BC",1235 Esquimalt Rd,,Condo,Aragon Properties,62 market condominiums,,2 x 6-storey condo buildings,"Residents will be able to enjoy the vibrancy of a new public square with a variety of programmming, including a farmers market and festival",Variety of 1- and 2-bedroom layouts,,Bullen Park,"Shops, restaurants, Esquimalt Recreation Centre",176 vehicles & 182 bicycles,,
Estella In Port Coquitlam,2331 Kelly Ave,"From $399,900",Condo,Vanstruction Group,30,Woodframe,6,,"1 & 2 bedroom homes, ranging from 584 – 1,052 sf",,"Gates Park, Central Park & Elks Park","Minutes from downtown restaurants, services & shops; Close to several schools, fields, parks & trails; Port Coquitlam Recreation Complex",2 levels of parking,Yes,
Eternity by Dimex Group,5309 Lane Street,,,Dimex Group,112,,4,,,,McPherson Park,"Shopping, Dining, Schools",,,
Etoile by Millennium - Brentwood,2360 Douglas Road,Inquire for Pricing,Condos,Millenium Development Group,390,Concrete,32,9 ft ceilings and central air conditioning,,,"Burnaby Lake, Deer Lake, Harwood Park",,,,
Evelyn By Onni Group,796 Evelyn Dr,"Starting from $1,245,900","Condo, Townhouse & Single Family Home",Onni Group,349,Concrete,,,"1.5 - 3.5 bedrooms, ranging from 870 - 2,555 sf",,"Ambleside Park, Klahanie Park","Adjacent to Park Royal shopping centre; Close to several grocers, shops & services; Nearby waterside parks, beaches & community services",3 levels of underground parking,Underground bike storage,
Everly Green - Qualico,8217–204B Street,"$499,000- $895,900","Townhomes, and Detached Townhomes",Streetside Development,90,Pre Construction,,,,,Yorkson Community Park,"Shopping, Dining, Great schools",,,
Evolv Townhomes - Moodyville,"324 Ridgeway, North Vancouver",TBD,townhome,Guildford Brook Estates,46,wood,3,Passive House Built,,,Moodyville Park,"shopping, sea bus, ski hill",1 per,,
FOCAL POINT by Suraj,"19228 64 Avenue Langley, BC",Resale - Please contact us for availability.,Condominium,Suraj Group of Companies,57,Wood frame,5,"Every home has 1 or 2 balconies, quartz countertops, 9' ceilings, stainless appliances, large windows",,"Mount Baker, Langley City",Yes,"Shopping, parks, trails, community centre, restaurants",,,
Fern Grove by Epic Homes | Maple Ridge,Fern Crescent,"Starting from $869,980",Single Family Home,Epic Homes,34,,,,"3-5 BED, ranging from 2000 - 2097 SF w/ 8' - 10' ceilings",Mountains & Nature,Golden Ears Park,"Short drive to shopping, dining & services at Meadowtown Shopping Centre + Outdoor activities such as hiking, biking, kayaking, canoeing and fishing",2-3,Yes,
Fifteen Fifteen by Bosa Properties,West Georgia & Pender Street,,,Bosa Properties,195,,40,,,"Coal Harbour, Stanley Park & City",Stanley Park,Restaurants & Shops on Robson Street,315 vehicle underground parking spaces,,
Fiorella by Polygon in Richmond,3551 Sexsmith Rd,,Condo,Polygon,157,,13,Enjoy the everyday luxury of integrated brand-name appliances,Keep cool in the warmer months with an air-cooling system,,"Aberdeen Park, Talmey Neighbourhood School Park","Restaurants, schools, and shopping centres, including Aberdeen Centre and Central at Garden City",198,,
First Light by Westbank in Seattle,2000 3rd Ave,,"Studio, 1, 2, 3 bedroom and penthouse units",Westbank,459,,48,"Miele appliances, B&B Italia furnishings","Floor to ceiling, triple-paned windows, 24/7 concierge","Seattle Skyline, Olympic Peninsula mountain and ocean views","Regrade Park, Bell Street Park, Westlake Park","Pacific Place Shopping Mall, Pike Place Market, Seattle Art Museum",,,
First Street West - Lower Lonsdale,131 West First St,700 per sq.ft,Condo,Fairborne,60,Wood,5,,,Downtown with some premium suites,Waterfront Park,,1,,
Five Road Richmond,10511 No 5 Rd,,Townhouse,Anthem Properties,47,,2 & 3,,4-minute drive to Mylora Sidaway Golf Club,,Deas Island Regional Park,"Shopping, parks, recreation and first-rate school, SilverCity Riverport Cinemas, Richmond Ice Centre, Watermania",Side-by-side double car garages,,
Flavelle Mill - Port Moody,"2400 Murray Street, Port Moody",TBD,Condos/Townhomes/Retail/Commercial,Flavelle Oceanfront Development,3300+,Concrete/Wood,16-38,,,,,,,,
Focal by Reside Developments - A Mount Pleasant Presale Condo,2290 Main Street,"$269,900+","studio, 1, 2, and 3-bedroom homes",Reside Developments,89 units,,9 storeys,"unique, eye-catching architecture",,,,,,,
Forest Ridge in Surrey,King George Blve & 34 Ave,,Condos,Quadra Homes,177,,5,Glassed in solarium balconies,,,Winter Crescent Park,"Smilestones Junior Kindergarten Preschool and Daycare, Wind & Tide Preschools, White Rock Mennonite Church",2 parking spots per home,,
"Forester | Burke Mountain, Coquitlam",Mitchell St & Baycrest Ave,,Townhouse,Townline,112,Woodframe,25 X 3,,"3,4 & 5 BED townhomes",Nature,Pinecone Burke Provincial Park,Across from future Burke Mountain Village Centre; steps from future Sheffield Elementary School; short drive to Deboville Slough Trail; 10 minutes from Coquitlam Centre shopping & Costco,2-car garage per residence,Yes,
Format By Cressey | East Vancouver,Kingsway & Dumfries St,,Condo & Townhouse,Cressey Developments,154,,13-storey building & 6-storey podium,"23,500 sf of commercial space","1, 2 & 3 bedroom units, ranging from 560 – 1,597 sf",Rooftop mountain views,Kingcrest Park,"Steps from several Kingsway restaurants, shops, grocers, schools and parks ; 10-minute drive to Metropolis at Metrotown shops, restaurants, entertainment & services",2 levels underground parking,Bike storage,
Forte by StreetSide Developments at Burnaby Heights,4470 Hastings,,,StreetSide Developments,,,5,Rooftop lounge with gardens,,,Confederation Park,"Dining, Coffee shops, Parks, Schools",,,
Forty Nine West at Oakridge - Cambie Corridor Presale Condo Development,6383 Cambie St.,"$350,000+",,Wanson Development,60 units,contemporary architecture by award-winning GBL Architects,8 storeys,nine-foot ceilings and air conditioning,,panoramic views overlooking Tisdall Park,,a moment away from Oakridge Centre,,,
Foster Martin | Seaside Living in White Rock,Martin St & Russell Ave,"Starting from $660,000",Condo,Landmark Premiere Properties,334,,3 X 25-storey,Seaside Living,"1-4 BED, ranging from 806 - 3,748 sf",Semiahmoo Bay,Bryant Park & Hodgson Park,"White Rock Community Centre, Semiahmoo Shopping Centre & White Rock Pier",4 levels of secure underground parking,Yes,
Founders Block in North Vancouver,"519 3rd Street East, North Vancouver",TBD,Townhouse,Anthem,56,Woodframe,,LEED Gold certification,"2-4 bedroom homes, ranging from 840 - 1,808 sf",,Moodyville Park,"Lonsdale Quay, Capilano University, Grouse Mountain",169 vehicle parking stalls are located in an underground parkade,,
